Universite;Specialisation;annee_experience;type_emploi;secteur_activite;competence_professionnelle;formation_complement;taille_equipe;budget_gere;nb_jour_formation_an;nb_projet;salaire;source_emploi
ISCAM;Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;Immobilier mais banque avant;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;0;0;10;4;Moins de 2 Millions MGA;Plateforme de mon entreprise
DEGS Ankatso;Comptabilité;Plus de 5 ans;Temps plein;Conseil en gestion;Communication, Leadership, Résolution de problèmes, Adaptabilité;Non;15;50000000;10;4;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Administration d'entreprise;Moins de 1 an;Temps plein;Importation;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;7;5000000000;2;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
ISCAM;Finance, Comptabilité;Plus de 5 ans;Temps plein;Groupe de premier plan en distribution de matériel de construction et PPN, en hôtellerie et Bâtiment;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;30;2E+11;0;5;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Comptabilité, Gestion;Plus de 5 ans;Temps plein;Banque/Finance;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;10;100000000;10;2;Plus de 3 Millions MGA;Recommandations
IUM Institut Universitaire de Madagascar;Marketing;Plus de 5 ans;Temps plein;Grande distribution;Résolution de problèmes, Adaptabilité;Non;10;0;4;3;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Gestion des Ressources Humaines;1-2 ans;Temps plein;Conseil en gestion;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;1;30000000;10;3;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso/DEX;Économie;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Audit;Oui;50;0;40;4;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Droit des affaires ;Plus de 5 ans;Temps plein;Public;Communication;Oui;5;0;15;0;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
INSCAE;Gestion des Ressources Humaines;1-2 ans;Temps partiel;RH;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;500;0;1;3;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Marketing, Management;Plus de 5 ans;Temps plein;Restauration;Communication, Leadership, Résolution de problèmes, Adaptabilité;Oui;20;20000000;0;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Administration d'entreprise;1-2 ans;Temps plein;Ressources Humaines;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Gestion du temps, Respect des deadlines, travail sous pression, Discipline;Non;20;350000000;3;3;Moins de 2 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;0;1000000;0;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;5;100000000;0;0;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;12;30000000;14;2;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
EST (Ecole Supérieure de Technologie);Management, Assurance;Plus de 5 ans;Temps plein;Assurance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;10;100000000;0;3;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité;3-5 ans;Temps plein;Comptabilité/Audit, Conseil en gestion;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;6;700000000;10;2;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
ISSIG /ESMIA;Finance, Comptabilité, Management;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Adaptabilité;Oui;20;50000000;3;3;Plus de 3 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité, Management;1-2 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;0;0;0;0;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ESCAME;Management;3-5 ans;Temps plein;Relation client;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;300;0;10;4;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Adaptabilité;Oui;10;200000000;15;3;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Université d'Andrainjato Fianarantsoa;Comptabilité/ Gestion des Ressources Humaines;Moins de 1 an;Temps plein;Banque/Finance, Conseil en gestion;Travail d'équipe, Leadership;Non;12;24000000;5;3;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
Université Libre de Bruxelles;Microfinance;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;0;0;10;1;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
IMGAM;Gestion des Ressources Humaines, Management;3-5 ans;Temps plein;Importation;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;10;0;0;2;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
